"","t2m","rh","blh","sp","e","tp","fal","wind_direction","wind_speed","bc"
"3915",-0.858215122,0.528980130488642,125.41727,103006.2455,-2.18e-06,-1.73e-18,0.148601656,36.8120699,2.408228862,14503
"3916",-3.704131482,0.656889079628881,121.6070054,103022.7039,-3.6e-07,-1.73e-18,0.148650758,88.20012124,2.494985767,14072
"3917",-3.896785631,0.6715009705483,96.01196723,103072.8107,-3.41e-07,-1.73e-18,0.148663033,92.51261263,2.174767792,15318
"3918",-4.294287231,0.707178598962669,76.87781249,103063.6672,-2.67e-07,-1.73e-18,0.148663033,83.14836233,2.020130928,15215
"3919",-4.511327981,0.722552736744295,75.80099858,103052.6949,-2.29e-07,-1.73e-18,0.148663033,71.78026362,2.069893388,14716
"3920",-4.969796084,0.753780073467754,80.68807707,103032.579,-2.29e-07,-1.73e-18,0.148663033,64.00457836,2.190278635,16900
"3921",-6.835371075,0.843676792874458,72.81905239,103022.7039,-1.92e-07,-1.73e-18,0.148663033,63.67028462,2.467395372,17744
"3922",-6.662226207,0.826183145936371,55.25870258,102996.3704,-1.73e-07,-1.73e-18,0.148663033,73.49484921,2.20838365,12934
"3923",-6.481765358,0.792281787914305,43.745077,102963.0878,-1.54e-07,-1.73e-18,0.148663033,57.44766955,1.989550478,17730
"3924",-6.979252022,0.80349143617831,38.44383932,102928.7079,-9.8e-08,-1.73e-18,0.148663033,25.91237283,1.765808661,13351
"3925",-6.745140651,0.79398205338285,27.51003661,102908.9578,5.19e-08,-1.73e-18,0.148663033,-37.605756,1.184503197,17060
"3926",-7.918136169,0.829665768002469,17.81871147,102846.4157,8.93e-08,-1.73e-18,0.148663033,-200.4120278,0.500038638,17766
"3927",-7.671831496,0.835893050696555,15.33375631,102797.0404,1.46e-07,-1.73e-18,0.148663033,191.5661558,0.509516003,16528
"3928",-7.855950335,0.873106339116598,14.6711016,102795.2116,2.95e-07,-1.73e-18,0.148712135,87.2141976,0.546461136,13460
"3929",-8.192485432,0.891011169093699,16.24490654,102821.9109,2.39e-07,-1.73e-18,0.148712135,-87.61857284,0.93256476,14228
"3930",-8.687533436,0.91995333846803,17.73587964,102865.0686,1.64e-07,-1.73e-18,0.148712135,7.742739293,1.160763836,13139
"3931",-8.919206148,0.927571218695235,54.43038419,102907.1291,-1.69e-06,-1.73e-18,0.148712135,2.545703983,0.771954188,16946
"3932",-4.130897003,0.729902359557258,171.7202678,102884.453,-8.34e-06,-1.73e-18,0.148712135,-38.71228719,0.530269257,18084
"3933",-4.172354225,0.671808571971098,301.4349273,102836.5406,-1.57e-05,-1.73e-18,0.148699859,-97.40152261,0.580183285,20016
"3934",-3.355403085,0.643505622390143,409.6961405,102707.4333,-2.03e-05,-1.73e-18,0.148699859,-97.92934873,0.8205197,25674
"3935",-0.053457283,0.534536097525011,496.3382438,102584.5436,-2.27e-05,-1.73e-18,0.148699859,-41.71785069,1.293347595,27061
"3936",-0.018096711,0.526659772865186,538.2511542,102526.0246,-2.15e-05,-1.73e-18,0.148663033,-15.81925572,1.75384005,19947
"3937",0.062379073,0.523109836446625,541.8957551,102488.7188,-1.52e-05,-1.73e-18,0.148663033,2.706066536,1.964317669,25280
"3938",-1.183776248,0.627624798780735,296.8791761,102492.3763,-7.55e-06,-1.73e-18,0.148663033,-6.210486807,1.276510706,23930
"3939",-2.400667648,0.671691270250686,65.61268242,102508.469,-6.79e-07,-1.73e-18,0.148663033,-6.588635768,2.680656363,24881
"3940",-6.157423562,0.856699111159499,39.10649403,102514.3209,1.83e-07,-1.73e-18,0.148712135,44.82478602,2.761205504,24551
"3941",-6.003787975,0.854757957347513,28.50401867,102539.9229,3.33e-07,-1.73e-18,0.14872441,44.9083514,2.212346585,25526
"3942",-5.417290216,0.837542890416092,20.2208348,102545.409,3.52e-07,-1.73e-18,0.14872441,-1.092846879,1.632455915,23791
