ymdh,time_jjj,t2m,d2m,u10,v10,blh,sp,e,tp,fal,wind_direction,wind_speed,bc
2016061304,3932,23.96124825,12.36979924,-0.480544737,-0.87514933,27.17870925,98137.10608,-3.90E-06,0.000105323,0.164351045,90.38739242,0.998403523,0
2016061305,3933,22.27369544,12.38175785,-0.806265698,-1.025179227,35.46189312,98106.74939,-9.09E-06,0.000267798,0.164351045,119.9577776,1.304245691,0
2016061306,3934,22.24199286,15.36271232,-0.544359456,-2.484432277,110.7560345,98170.38871,-5.28E-05,0.000508245,0.164326495,38.825911,2.54337,0
2016061307,3935,21.37748785,16.14219604,-1.217516108,-2.659467156,204.0246849,98186.84715,-0.000128187,0.001248364,0.164326495,77.27853386,2.92491214,0
2016061308,3936,20.9616963,16.46290413,-1.468786564,-3.031711145,255.2975931,98211.71769,-0.000205119,0.001730483,0.164326495,81.20703549,3.368769276,0
2016061309,3937,20.59467795,16.28026359,-2.06173166,-2.925086124,336.6384587,98155.75898,-0.000284449,0.001554536,0.164326495,110.5146168,3.578668226,0
2016061310,3938,21.55916803,16.50204139,-2.787180929,-2.722215509,471.571524,98172.94891,-0.0003085,0.000918924,0.164326495,143.4940859,3.896002414,0
2016061311,3939,22.37002252,16.22590629,-2.668414647,-2.499529625,528.5598291,98137.47182,-0.000326221,0.000301273,0.164326495,147.2518585,3.656239198,0
2016061312,3940,23.44181364,14.85392797,-3.187795553,-2.323079369,649.825641,98112.96703,-0.000205306,2.37E-05,0.164326495,169.387193,3.944456647,0
2016061313,3941,26.36454779,15.27900208,-3.607022803,-1.850343658,864.8570943,97994.46622,-0.000214073,1.43E-05,0.164326495,197.4268522,4.053934528,0
2016061314,3942,27.17540228,15.67472324,-3.329606039,-1.628129565,994.1575946,97997.75791,-0.000200998,2.86E-06,0.164326495,200.8798131,3.706357006,0
2016061315,3943,27.83505985,15.66711322,-3.769661705,-1.072358439,1247.374526,97909.6138,-0.000123916,4.04E-05,0.164326495,232.8564136,3.919222115,0
2016061316,3944,23.96856423,17.43916128,-4.209274212,-0.196712251,1143.586232,97905.95637,-8.11E-05,6.53E-06,0.164326495,274.3375044,4.213868188,0
2016061317,3945,23.23818552,18.38171691,-3.850316419,-0.560463981,860.1356795,97843.41428,-6.91E-05,1.76E-05,0.164326495,256.7247206,3.890894036,0
2016061318,3946,21.19336901,16.66511329,-3.365501819,-1.106799265,666.8889997,97826.59009,-5.07E-05,2.45E-06,0.164301944,225.5529074,3.542824735,0
2016061319,3947,21.5335621,16.71186057,-3.714710141,-1.498858523,698.6964258,97843.04853,-2.91E-05,4.08E-07,0.164301944,213.7108698,4.005701974,0
2016061320,3948,21.04095275,16.46399127,-2.976409297,-1.234654931,594.9909637,97881.08583,-1.20E-05,3.67E-06,0.164301944,211.9653405,3.222326039,0
2016061321,3949,21.18117571,16.51726143,-2.364408417,-1.405915473,501.9708088,97942.89643,-9.65E-06,5.92E-05,0.164301944,186.1820875,2.750822691,0
2016061322,3950,21.04095275,16.33353375,-1.751521221,-0.93270797,447.1361316,97975.81332,-1.56E-05,0.000240855,0.164301944,194.6660075,1.984381703,0
2016061323,3951,18.97296897,16.34875379,-1.552543382,-1.441299883,389.0710127,97904.49339,-4.17E-05,0.00062704,0.164301944,148.0569299,2.118427791,0
2016061400,3952,18.70715502,16.16611326,-1.51132971,-1.698426592,404.809062,97826.22435,-3.50E-05,0.000260042,0.164301944,130.8913179,2.273492991,0
2016061401,3953,18.06456808,16.53139433,-1.124896134,-1.563022252,347.2409341,97746.12658,-5.70E-05,0.003174797,0.164301944,112.2877477,1.925728401,0
