"","ymdh","time_jjj","t2m","d2m","u10","v10","blh","sp","e","tp","fal","wind_direction","wind_speed","bc"
"32",2016010215,31,6.599207524,-2.743705182,-1.139520341,0.202423889,287.5191784,99610.68548,-3.88e-05,-1.73e-18,0.147582794,-251.0983242,1.157359943,3980
"33",2016010216,32,3.759387815,-2.02292735,-1.691251764,-0.077348842,83.25586407,99619.09758,-1.19e-05,-1.73e-18,0.147582794,274.5168306,1.693019602,3104
"34",2016010217,33,4.48245054,-2.952437225,-1.654026512,-0.813344561,27.26154109,99689.68602,7.64e-07,-1.73e-18,0.147644172,200.4806986,1.843185578,3354
"35",2016010218,34,-0.363167118,-4.147210736,-0.681295207,-1.672949818,23.03711731,99702.85277,2.39e-06,-1.73e-18,0.147766926,69.61207214,1.806356623,3860
"36",2016010219,35,-0.41194032,-4.31680552,-0.094111162,-2.073501334,26.68171822,99800.14047,2.47e-06,-1.73e-18,0.147828303,8.164157355,2.075635973,3580
"37",2016010220,36,-0.553382607,-4.54836763,-0.254091117,-2.000373554,24.36242673,99837.08053,2.54e-06,-1.73e-18,0.147865129,22.74214052,2.016446541,3842
"38",2016010221,37,-0.518022035,-4.433130148,0.01091723,-1.950835381,25.19074512,99858.65938,3.18e-06,-1.73e-18,0.147877405,-1.007302229,1.950865928,3542
"39",2016010222,38,-1.153292997,-4.621206415,0.410645538,-1.668703688,23.03711731,99844.76114,2.96e-06,-1.73e-18,0.147901956,-43.4325673,1.718488219,3826
"40",2016010223,39,-2.6542883,-5.231095351,0.515230772,-1.719185446,22.87145364,99864.51127,2.82e-06,-1.73e-18,0.147926507,-52.41180276,1.794731553,5200
"41",2016010301,41,-2.829871829,-5.472441774,0.145637192,-1.907902297,25.43924064,99794.65432,2.09e-06,-1.73e-18,0.147938782,-13.71346721,1.913452734,3595
"42",2016010302,42,-2.225084119,-4.994097511,-0.074169062,-1.910261258,29.33233706,99807.08959,1.81e-06,-1.73e-18,0.147951058,6.98528987,1.911700584,7758
"43",2016010303,43,-2.132415035,-4.874511445,-0.285555318,-1.805995198,33.97092003,99803.43216,1.81e-06,-1.73e-18,0.147951058,28.22705721,1.828431156,7347
"44",2016010304,44,-2.596979787,-4.96148313,-0.632547852,-1.769195412,40.34897161,99811.84425,1.51e-06,-1.73e-18,0.147963333,61.80677346,1.878874448,6270
"45",2016010305,45,-2.618927728,-4.757099672,-0.749541503,-1.348828626,51.86259719,99825.01101,2.02e-06,-1.73e-18,0.147963333,91.29733605,1.5430979,4955
"46",2016010306,46,-2.507968693,-4.018927502,-1.102738246,-1.418182069,101.1475412,99853.90472,5.2e-07,-1.73e-18,0.148036986,118.964656,1.796460971,5036
"47",2016010307,47,-2.951804835,-4.014578918,-1.291966614,-1.592745156,121.1100144,99971.67404,1.57e-06,-1.73e-18,0.148036986,122.6712871,2.050857104,4811
"48",2016010308,48,-3.006674687,-3.812369752,-1.485626559,-1.48045863,149.024344,100012.6373,3.22e-06,-1.73e-18,0.148061536,141.6852903,2.097342134,4643
"49",2016010309,49,-2.940830864,-3.740618113,-1.462582355,-1.552642825,191.9312365,100105.9018,-5.59e-06,-1.73e-18,0.148098363,135.9969244,2.13303701,4379
"50",2016010310,50,0.146512847,-1.937042811,-1.501137081,-1.30542375,250.9903375,100124.189,-1.86e-05,-1.73e-18,0.148098363,153.9035417,1.989357611,4685
