ymdh,time_jjj,t2m,d2m,u10,v10,blh,sp,e,tp,fal,wind_direction,wind_speed,bc
2016010217,33,6.633348766,-5.960570352,-1.1913698,1.179977177,22.62295812,101653.7271,-4.35E-07,-1.73E-18,0.148883991,-142.2364337,1.676814879,0
2016010218,34,2.491284552,-5.094114948,-1.333623444,1.750845652,23.11994915,101669.8198,6.51E-07,-1.73E-18,0.148933093,-117.1707681,2.200911626,0
2016010219,35,2.204741988,-4.897341513,-0.718077302,1.454088403,18.56419802,101747.3573,6.33E-07,-1.73E-18,0.148945368,-82.56637892,1.62172997,0
2016010220,36,3.007061168,-4.758186818,-0.960041444,1.111095527,15.83074735,101812.0939,6.14E-07,-1.73E-18,0.148945368,-128.2669452,1.468404864,0
2016010221,37,2.532741774,-4.494010327,-1.633641254,0.30244382,20.80065767,101848.6682,3.33E-07,-1.73E-18,0.148957644,-249.7921633,1.661401821,0
2016010222,38,1.168311437,-4.650559359,-1.835721197,0.23356217,29.24950522,101838.0617,4.27E-07,-1.73E-18,0.148957644,-259.9639999,1.850519819,0
2016010223,39,-0.527776676,-4.901690097,-1.966009582,-0.03252859,38.69233483,101874.636,1.03E-06,-1.73E-18,0.148957644,279.7654225,1.966278664,0
2016010300,40,-2.004385378,-4.929955894,-2.332944215,-0.255214474,49.04631467,101868.0526,1.72E-06,-1.73E-18,0.148957644,263.1300734,2.346862403,0
2016010301,41,-3.144458984,-4.993010365,-2.477413648,-0.401941826,61.05693129,101827.4551,3.14E-06,-1.73E-18,0.148957644,253.7919524,2.509807884,0
2016010302,42,-2.734764084,-4.072197659,-2.293946331,-0.518474482,69.67144252,101851.9599,5.43E-06,-1.73E-18,0.148957644,242.7322683,2.351808997,0
2016010303,43,-3.100563102,-3.908038605,-2.266027392,-0.346270355,78.78294478,101845.3765,4.59E-06,-1.73E-18,0.148957644,255.4487836,2.292331411,0
2016010304,44,-3.421246908,-3.865639909,-2.189361098,-0.063195079,90.3794022,101859.6405,4.36E-06,-1.73E-18,0.148957644,277.5491492,2.190272959,0
2016010305,45,-3.304191222,-3.68082508,-2.163657947,-0.130189561,95.84630356,101885.974,3.93E-06,-1.73E-18,0.148957644,271.9255935,2.167571229,0
2016010306,46,-4.115045712,-4.455960215,-1.926125382,-0.142927948,126.6597476,101944.1272,4.14E-06,-1.73E-18,0.149006745,269.4108915,1.93142108,0
2016010307,47,-4.641796298,-4.840809918,-1.593757055,-0.486392617,118.2109,102047.6325,4.02E-06,-1.73E-18,0.149006745,229.4259107,1.666325097,0
2016010308,48,-4.347937753,-4.68317374,-1.641174936,-0.116979381,114.3178036,102068.4799,3.05E-06,-1.73E-18,0.149019021,269.9349919,1.645338672,0
2016010309,49,-3.895566301,-4.615770685,-1.231253999,-0.04573877,189.5291132,102155.8925,-6.79E-06,-1.73E-18,0.149019021,276.0597507,1.232103261,0
2016010310,50,-0.40218568,-3.853681302,-1.098749826,0.231675001,331.3372211,102190.2724,-2.47E-05,-1.73E-18,0.149019021,-245.3376665,1.122908939,0
2016010311,51,-0.336341856,-5.121293599,-0.984415121,0.394915077,393.2126046,102154.4295,-3.76E-05,-1.73E-18,0.149019021,-214.0711436,1.060674808,0
2016010312,52,-0.099791825,-5.394167259,-0.839502531,0.479365868,443.7400262,102065.1882,-4.51E-05,-1.73E-18,0.149006745,-189.3535983,0.966724436,0
2016010313,53,2.341306955,-5.038670499,-0.858115157,0.889353227,473.2281608,101962.7801,-4.84E-05,-1.73E-18,0.14899447,-138.1542986,1.235844159,0
2016010314,54,2.787581757,-4.986487489,-0.644513112,1.229043559,481.5941765,101899.1408,-4.56E-05,-1.73E-18,0.148957644,-86.93608166,1.387784285,0
2016010315,55,2.926585384,-4.682086594,-0.52175841,1.479565178,434.2143648,101892.9231,-3.04E-05,-1.73E-18,0.148945368,-61.02495107,1.568867412,0
2016010316,56,1.076861683,-4.051541884,-0.266056376,1.134213341,219.7627343,101941.2012,-1.61E-05,-1.73E-18,0.148945368,-41.4733912,1.165000386,0
2016010317,57,0.027018501,-4.376598553,0.074288791,2.439190366,54.67887971,102003.0118,-1.09E-06,-1.73E-18,0.148957644,5.480445586,2.440321385,0
2016010318,58,-2.86035508,-6.038844868,0.641973894,1.941921463,25.43924064,102079.8179,7.26E-07,-1.73E-18,0.149019021,57.46981974,2.045284687,0
2016010319,59,-1.797099268,-5.481138943,0.666347571,0.325561635,13.42862402,102183.689,8.01E-07,-1.73E-18,0.149031296,200.9392861,0.741626229,0
2016010320,60,-0.339999847,-4.557064798,-0.280680583,-0.5113976,11.27499622,102249.8885,7.26E-07,-1.73E-18,0.149031296,90.35277843,0.583360176,0
2016010321,61,-2.327507844,-5.318067035,-0.500929994,-1.196911561,15.91357918,102279.5137,8.20E-07,-1.73E-18,0.149031296,71.34628203,1.297508437,0
2016010322,62,-2.937172874,-5.640949412,-0.260295325,-1.839964231,19.47534825,102335.4724,1.10E-06,-1.73E-18,0.149043572,25.29630709,1.8582847,0
2016010323,63,-3.218838118,-6.072546395,-0.484089999,-2.262218185,27.9241958,102363.2689,1.21E-06,-1.73E-18,0.149043572,37.94574769,2.313433432,0
2016010400,64,-1.770274007,-6.399777357,-0.880716203,-2.359879155,41.75711287,102402.0377,-3.79E-07,-1.73E-18,0.149043572,64.2951207,2.518866939,0
2016010401,65,-1.143538356,-7.914171808,-1.254298203,-2.42970439,63.37622277,102459.8251,-1.75E-06,-1.73E-18,0.149043572,85.77918254,2.734360511,0
2016010402,66,-0.731404796,-9.064372332,-1.216186635,-2.071142373,95.01798517,102524.1959,-2.66E-06,-1.73E-18,0.149043572,95.5725869,2.401820281,0
2016010403,67,-0.479003473,-10.03519376,-1.473218141,-2.251838758,124.5889516,102600.2705,-2.31E-06,-1.73E-18,0.149043572,104.28163,2.690938402,0
2016010404,68,-1.552013926,-11.73657733,-1.667321245,-2.64248264,175.6133643,102639.7708,-3.30E-06,-1.73E-18,0.149043572,101.3182567,3.124527906,0
