"","t2m","rh","blh","sp","e","tp","fal","wind_direction","wind_speed","bc"
"42",-3.423685568,0.741093197222967,12.84880115,95310.64252,-2.48e-07,-1.73e-18,0.106766956,-60.95157522,0.805289402,14434
"43",-2.367745736,0.72311924879914,13.67711954,95320.15185,-2.1e-07,-1.73e-18,0.106766956,-53.9625827,0.853290268,15569
"44",-1.483731443,0.68400369491433,13.84278322,95300.40171,-6.41e-07,-1.73e-18,0.106766956,-47.81915926,0.750504363,9105
"45",-0.561917918,0.649031355531154,14.25694241,95302.59617,-4.54e-07,-1.73e-18,0.106766956,-39.74532292,0.673050609,9569
"46",-0.600936479,0.663488661303048,15.49941999,95308.08232,-3.04e-07,-1.73e-18,0.106766956,-19.21557222,0.846945296,6559
"47",-2.712816143,0.759775812169077,31.90012406,95330.02691,-2.29e-07,-1.73e-18,0.106828333,44.6866787,1.730242405,6234
"48",-4.444264828,0.84764189528584,30.57481464,95420.73123,-1.54e-07,-1.73e-18,0.106828333,76.52675527,1.702298648,5965
"49",-4.351595743,0.864185797468655,34.63357474,95440.48137,-1.17e-07,-1.73e-18,0.106828333,77.53827163,1.381113246,7995
"50",-3.362719065,0.831511115042864,62.29940887,95525.69953,-5.89e-06,-1.73e-18,0.106828333,161.6378868,0.956134714,6998
"51",0.107494285,0.760699002690545,188.1209719,95550.20433,-1.83e-05,-1.73e-18,0.106828333,-262.8423338,0.825486888,16312
"52",0.113590936,0.741489481727691,335.8929722,95529.35697,-3.31e-05,-1.73e-18,0.106828333,-214.768997,0.909812904,8747
"53",0.130661556,0.738645435760522,403.5665844,95456.20832,-4.57e-05,-1.73e-18,0.106816058,-169.8737123,1.076680904,8964
"54",2.780265777,0.641959608642078,481.7598402,95385.61988,-5.73e-05,-1.73e-18,0.106816058,-115.27816,1.089728681,12427
"55",2.938778684,0.635725751039856,468.7552415,95336.97604,-5.58e-05,-1.73e-18,0.106803782,-103.8050103,1.300699337,16840
"56",2.521767804,0.670762953387277,334.5676628,95340.63347,-3.78e-05,-1.73e-18,0.106766956,-111.760218,1.407238399,1889
"57",0.60741961,0.7630033551032,143.7231063,95405.37002,-1.88e-05,-1.73e-18,0.106766956,-125.3363115,1.015919121,1202
