,Station,ymdh,time_jjj,t2m,d2m,u10,v10,blh,sp,e,tp,fal,wind_direction,wind_speed,bc
5137,changping,2016082723,5751,15.8588,10.47381652,1.045690622,-1.293157155,21.13198502,95004.14971,-1.56E-05,-1.73E-18,0.121116946,-122.3970021,1.663046693,508
5138,changping,2016082800,5752,15.56128346,10.38901913,1.037713782,-1.404971889,20.80065767,94980.74215,-1.58E-05,-1.73E-18,0.121116946,-114.5098455,1.746652771,441
5139,changping,2016082801,5753,14.80042151,9.967206464,1.013783263,-1.537545477,22.45729444,94970.50134,-1.58E-05,-1.73E-18,0.121116946,-104.9258343,1.841684717,498
5140,changping,2016082802,5754,15.1003767,9.240992901,1.015555894,-1.601237414,24.69375409,94958.79755,-1.59E-05,-1.73E-18,0.121116946,-101.7378861,1.896131596,45
5141,changping,2016082803,5755,15.15890454,8.910500501,1.025305365,-1.611145049,27.59286844,94995.73762,-1.73E-05,-1.73E-18,0.121116946,-102.0137435,1.909722351,102
5142,changping,2016082804,5756,14.15295724,8.204942713,1.109062183,-1.608786088,31.23746935,95010.73309,-1.77E-05,-1.73E-18,0.121116946,-108.6410994,1.954024464,324
5143,changping,2016082805,5757,14.52241425,7.810308696,1.1812969,-1.647944835,33.88808819,95028.65451,-1.84E-05,-1.73E-18,0.121116946,-111.9478376,2.027605618,78
5144,changping,2016082806,5758,17.79021881,7.933156199,1.342606328,-1.842794983,36.87003438,95050.96484,-2.02E-05,-1.73E-18,0.120859161,-113.3360406,2.280018663,302
5145,changping,2016082807,5759,18.33891734,9.361666112,1.552219953,-2.176352018,39.35498954,95105.46058,-6.34E-05,-1.73E-18,0.120859161,-111.5179406,2.673180669,402
5146,changping,2016082808,5760,19.25219555,12.41328508,1.435226302,-2.020660616,56.99817119,95111.31247,-0.000138433,-1.73E-18,0.120859161,-111.16606,2.47849629,659
5147,changping,2016082809,5761,20.51298284,11.20220438,1.022646418,-1.421484614,239.2282164,95099.60869,-0.000251218,-1.73E-18,0.120859161,-112.2555374,1.751120842,629
5148,changping,2016082810,5762,26.6486517,7.491774902,0.728389659,-1.538960853,908.3438096,95101.43741,-0.00039596,-1.73E-18,0.120859161,-79.57081857,1.702630906,2064
5149,changping,2016082811,5763,26.52793802,7.989687794,0.053460376,-2.061234739,2083.644769,95064.49734,-0.000503312,-1.73E-18,0.120859161,-4.667450334,2.061927899,1427
5150,changping,2016082812,5764,26.5230607,7.983164918,-0.786766756,-2.018773447,2316.319404,95010.0016,-0.000575374,-1.73E-18,0.120859161,66.89114551,2.166667524,803
5151,changping,2016082813,5765,28.53739396,6.09044364,-1.003470905,-1.43186404,2404.369649,94928.44087,-0.000596579,-1.73E-18,0.120859161,110.0290171,1.748481767,1607
5152,changping,2016082814,5766,28.36302976,6.005646248,-0.892238305,-0.727006602,2439.490349,94870.65344,-0.000571909,-1.73E-18,0.120859161,159.6759522,1.150924755,729
5153,changping,2016082815,5767,28.55202592,6.202419684,-0.632104694,-0.048569523,2440.815658,94797.5048,-0.000505242,-1.73E-18,0.120859161,268.9396613,0.633967935,812
5154,changping,2016082816,5768,28.61055376,6.714465475,-0.551006822,0.546832142,2237.132167,94798.60203,-0.000410121,-1.73E-18,0.120859161,-142.0561403,0.776294989,1247
5155,changping,2016082817,5769,28.20207819,8.422371923,-0.584686813,1.316796894,586.127957,94790.92142,-0.000282032,-1.73E-18,0.120859161,-75.2168746,1.440768104,1076
5156,changping,2016082818,5770,22.54682538,12.44263803,-0.298406894,1.416345033,271.2013061,94751.78689,-0.000122886,-1.73E-18,0.120613652,-37.3771868,1.447439093,692
5157,changping,2016082819,5771,21.06412002,11.5827055,0.707118086,2.399559827,126.2455884,94855.65797,-2.48E-05,-1.73E-18,0.120613652,51.58349991,2.501580171,3390
5158,changping,2016082820,5772,21.76279615,10.06178817,1.352355799,2.015049243,96.09479907,94848.70885,-9.99E-06,-1.73E-18,0.120613652,106.3952648,2.42678587,3596
5159,changping,2016082821,5773,22.85165789,9.691071366,1.901871434,1.385678545,74.72418468,94866.63026,-9.24E-06,-1.73E-18,0.120613652,169.4053909,2.353129826,2376
5160,changping,2016082822,5774,20.97510893,11.05435252,2.254625018,0.222239159,52.85657926,94884.55168,-8.62E-06,-1.73E-18,0.120613652,265.0578079,2.265551636,4350
5161,changping,2016082823,5775,16.37701527,10.52382524,2.126552423,-0.634063553,40.01764425,94879.43128,-8.81E-06,-1.73E-18,0.120613652,-230.5842923,2.219067776,2064
5162,changping,2016082900,5776,16.17460648,10.31618035,1.860214603,-1.061035428,29.82932809,94872.11641,-9.61E-06,-1.73E-18,0.120613652,-189.4389313,2.141540228,880
5163,changping,2016082901,5777,15.51372959,10.27052021,1.316016862,-0.947805318,23.69977202,94840.29675,-1.07E-05,-1.73E-18,0.120613652,-170.3945841,1.621800019,1006
5164,changping,2016082902,5778,15.44666644,10.26725877,0.930469602,-0.848257179,19.30968457,94830.42169,-1.10E-05,-1.73E-18,0.120613652,-149.6853195,1.259092499,1724
5165,changping,2016082903,5779,15.04672618,10.15854417,0.809044373,-0.980358974,15.91357918,94805.91689,-1.10E-05,-1.73E-18,0.120613652,-124.1911223,1.271084779,281
5166,changping,2016082904,5780,13.94810979,9.749777253,0.694709669,-1.12567095,14.6711016,94823.47256,-1.03E-05,-1.73E-18,0.120613652,-99.52841353,1.32278366,178
5167,changping,2016082905,5781,14.23465236,9.305134518,0.629565476,-1.314387801,15.66508367,94839.56527,-9.95E-06,-1.73E-18,0.120613652,-80.40431724,1.457383951,188
5168,changping,2016082906,5782,17.58902935,10.03352237,0.528968663,-1.214839662,16.1620747,94922.22323,-1.13E-05,-1.73E-18,0.120355868,-73.91978482,1.325006887,1151
5169,changping,2016082907,5783,18.4913336,11.5544397,0.696039142,-1.66021143,18.81269354,94944.16782,-4.33E-05,-1.73E-18,0.120355868,-71.45783589,1.800214565,1445
5170,changping,2016082908,5784,20.78489344,13.74721329,0.269721367,-1.705031682,51.69693351,95030.11748,-0.000111122,-1.73E-18,0.120355868,-28.24043783,1.726233661,1255
5171,changping,2016082909,5785,21.10679658,10.39228057,-0.926361454,-1.248808695,411.8497683,95005.97843,-0.000244418,-1.73E-18,0.120355868,114.8813859,1.55488543,975
5172,changping,2016082910,5786,26.08532121,9.863927589,-1.917705385,-0.913836284,694.8861612,95011.46458,-0.000379757,-1.73E-18,0.120355868,202.6986713,2.124309464,2660
5173,changping,2016082911,5787,25.30860796,10.72277297,-2.623655712,-0.243419671,967.6514062,95033.40917,-0.000469108,-1.73E-18,0.120355868,266.0908238,2.63492361,1933
5174,changping,2016082912,5788,24.91354502,11.5261739,-2.899299845,0.456248054,1273.880714,95015.12201,-0.000507958,-1.73E-18,0.120355868,-254.6480579,2.934979025,1284
5175,changping,2016082913,5789,26.64499371,11.55226541,-2.807566186,1.064859898,1559.733389,94961.7235,-0.000503874,-1.73E-18,0.120355868,-217.489804,3.002724512,1362
5176,changping,2016082914,5790,26.48770013,11.73273165,-2.47697049,1.510703459,1726.391049,94931.00107,-0.000470719,-1.73E-18,0.120355868,-184.1633002,2.901311384,1505
5177,changping,2016082915,5791,26.55354395,11.66206716,-2.138841112,1.684794754,1614.816562,94888.20911,-0.000400961,-1.73E-18,0.120355868,-162.6465546,2.722714576,1626
5178,changping,2016082916,5792,25.33177523,12.36001493,-1.696569657,1.674415327,1469.695181,94910.51945,-0.000302993,-1.73E-18,0.120355868,-142.554624,2.383697819,856
5179,changping,2016082917,5793,25.12448912,12.15998005,-1.227265579,1.522498262,970.4676887,94898.81567,-0.000168142,-1.73E-18,0.120355868,-122.1194399,1.955551523,1745
5180,changping,2016082918,5794,21.69329433,14.78217633,-0.455284744,1.431914173,309.2211201,94865.89878,-7.42E-05,-1.73E-18,0.120110359,-55.41247825,1.502551962,449
5181,changping,2016082919,5795,21.60062525,15.24964913,0.602089695,2.223581363,161.2006243,94878.69979,-1.71E-05,-1.73E-18,0.120110359,47.59808485,2.303654939,561
5182,changping,2016082920,5796,21.60184458,14.54191705,1.578366262,1.542785323,80.43958155,94883.08871,-9.97E-06,-1.73E-18,0.120110359,143.4235696,2.207130855,1456
5183,changping,2016082921,5797,21.51039483,14.12010438,2.02373982,0.574196086,52.44242006,94901.37587,-1.08E-05,-1.73E-18,0.120110359,232.9797563,2.10362164,2019
5184,changping,2016082922,5798,21.1604471,14.53104559,1.639078876,0.020312128,30.65764648,94869.19047,-1.06E-05,-1.73E-18,0.120110359,280.5128202,1.639204729,1648
5185,changping,2016082923,5799,19.64603916,14.0733571,1.508347334,-0.217471104,28.00702764,94870.2877,-9.28E-06,-1.73E-18,0.120110359,-256.9688426,1.523944015,1249
5186,changping,2016083000,5800,19.34486464,13.90158803,1.536266273,-0.530269285,29.58083257,94851.26905,-8.23E-06,-1.73E-18,0.120110359,-222.9179479,1.625207549,1077
5187,changping,2016083001,5801,18.68642641,13.28517622,1.766708314,-0.6911504,30.24348728,94803.72243,-8.94E-06,-1.73E-18,0.120110359,-215.6205914,1.897089123,1198
5188,changping,2016083002,5802,18.88639654,12.92206943,1.630215721,-0.814288146,26.93021373,94751.05541,-9.73E-06,-1.73E-18,0.120110359,-199.3591907,1.822270145,1648
5189,changping,2016083003,5803,18.45841169,12.92750516,1.226498992,-0.86618528,21.79463973,94713.38386,-8.21E-06,-1.73E-18,0.120110359,-172.0627483,1.501524797,1479
5190,changping,2016083004,5804,17.43539377,12.98294961,0.712879137,-0.660483912,16.65906573,94651.20751,-8.88E-06,-1.73E-18,0.120110359,-148.2355273,0.971820797,1744
5191,changping,2016083005,5805,17.58659069,13.29278624,0.628236003,-0.693981153,14.91959712,94636.21204,-7.78E-06,-1.73E-18,0.120110359,-132.4288203,0.936103796,1370
5192,changping,2016083006,5806,19.7691915,13.47433963,0.708447559,-0.839293128,16.99039309,94629.9944,-8.04E-06,-1.73E-18,0.119852575,-126.1906168,1.098321856,1284
5193,changping,2016083007,5807,20.10816526,14.64737022,1.025305365,-1.212952493,19.64101193,94621.94805,-3.12E-05,-1.73E-18,0.119852575,-126.3163521,1.588239542,477
5194,changping,2016083008,5808,22.07616397,15.43555111,0.721299135,-1.004420373,61.38825865,94578.79035,-9.74E-05,-1.73E-18,0.119852575,-112.1016494,1.236581064,1030
5195,changping,2016083009,5809,21.78596342,14.37449656,0.223632959,-0.388259854,327.1127973,94575.86441,-0.000188447,-1.73E-18,0.119852575,-94.06374465,0.448059611,2302
5196,changping,2016083010,5810,26.30236196,14.31687782,-0.233262701,0.275551669,684.200854,94554.28556,-0.000335474,-1.73E-18,0.119852575,-126.4456775,0.361026606,2256
5197,changping,2016083011,5811,25.78902401,14.91698244,-0.230603755,0.853025233,1075.664124,94511.4936,-0.000424076,5.72E-06,0.119852575,-47.52456002,0.883645936,2210
5198,changping,2016083012,5812,25.62075646,15.81279079,0.167351922,1.179505385,1465.056598,94399.57618,-0.00049123,2.74E-05,0.119852575,25.36963155,1.191318438,1112
5199,changping,2016083013,5813,28.2630447,16.03456858,0.618486532,1.428611629,1945.646926,94321.67288,-0.000506572,1.59E-05,0.119852575,73.5420336,1.556745572,1013
5200,changping,2016083014,5814,28.31059857,16.01065137,0.85336015,1.086562336,2391.199387,94213.77863,-0.000477575,3.06E-05,0.119852575,119.8368249,1.381608214,1082
5201,changping,2016083015,5815,28.50081406,15.69320472,0.810373846,0.719036269,2568.37669,94151.96802,-0.000452418,3.18E-05,0.119852575,152.1086587,1.083383093,1131
5202,changping,2016083016,5816,28.34717847,14.14076016,0.489084463,0.492104256,2500.785909,94110.2733,-0.000363966,2.49E-05,0.119852575,140.8176874,0.693808483,2863
5203,changping,2016083017,5817,27.93626424,14.04617845,-0.812026749,0.858686739,300.1924497,94052.48587,-0.000256819,0.000285352,0.119852575,-136.3459031,1.181833472,2860
5204,changping,2016083018,5818,23.62715181,15.62254023,-0.535053143,1.028060112,80.19108604,93996.52716,-0.000116517,-1.73E-18,0.119594791,-86.37711794,1.158960508,3643
5205,changping,2016083019,5819,25.68903894,14.03530699,0.181976129,1.231874311,29.91215993,93995.06419,-1.56E-05,-1.73E-18,0.119594791,26.39921049,1.2452428,1458
5206,changping,2016083020,5820,25.96826552,14.83870793,0.510799194,-0.060364326,19.72384377,94023.59216,-3.79E-06,-1.73E-18,0.119594791,-261.5698192,0.514353641,835
5207,changping,2016083021,5821,23.64178377,16.21394768,0.90698224,-0.984605104,23.28561283,93975.31405,-3.30E-06,-1.73E-18,0.119594791,-133.9893613,1.338679945,882
5208,changping,2016083022,5822,21.96398561,16.29874507,0.761626492,-1.066225142,20.38649848,93962.87878,-4.16E-06,-1.73E-18,0.119594791,-111.6490552,1.310309492,1189
5209,changping,2016083023,5823,19.46679765,14.44842249,0.793533851,-1.09028654,17.81871147,93950.07777,-7.05E-06,-1.73E-18,0.119594791,-113.2479071,1.348488306,1315
5210,changping,2016083100,5824,18.79372745,13.43737666,0.949968544,-1.330900525,18.7298617,93914.96642,-9.84E-06,-1.73E-18,0.119594791,-111.5844711,1.635156397,748
5211,changping,2016083101,5825,17.65731184,12.56548553,1.052337989,-1.4762125,22.70578996,93860.83643,-1.13E-05,-1.73E-18,0.119594791,-111.4752792,1.812903359,862
5212,changping,2016083102,5826,17.86703661,12.1752001,1.148503225,-1.576232431,29.99499177,93814.75278,-1.19E-05,-1.73E-18,0.119594791,-113.3439886,1.950273913,777
5213,changping,2016083103,5827,17.81216675,11.39028065,1.188830582,-1.684272829,32.97693796,93790.24799,-1.89E-05,-1.73E-18,0.119594791,-110.634489,2.061575396,259
5214,changping,2016083104,5828,16.73671764,10.09766399,1.309369495,-1.818261793,35.79322048,93752.57644,-1.92E-05,-1.73E-18,0.119594791,-112.3385576,2.240652678,300
5215,changping,2016083105,5829,17.18177311,9.189897036,1.418386307,-1.862610253,37.1185299,93766.84042,-1.93E-05,-1.73E-18,0.119594791,-117.1482293,2.34118275,180
5216,changping,2016083106,5830,20.33617998,8.299524419,1.393569472,-1.872046095,37.86401645,93740.87265,-2.01E-05,-1.73E-18,0.119337007,-115.1844794,2.333793576,229
5217,changping,2016083107,5831,20.36300524,10.53034812,1.712643066,-2.128229221,40.34897161,93797.19711,-6.12E-05,-1.73E-18,0.119337007,-121.9709686,2.731758753,176
5218,changping,2016083108,5832,21.59208994,13.2210346,1.824318824,-1.86638459,60.72560394,93750.38198,-0.000133806,-1.73E-18,0.119337007,-139.3201607,2.609890919,254
5219,changping,2016083110,5834,28.70810017,7.958160559,2.520962838,-1.667760104,1437.722091,93642.85347,-0.000379082,-1.73E-18,0.119337007,-177.541141,3.022693732,126
5220,changping,2016083111,5835,28.41424162,8.943114882,2.827184857,-2.325910122,2149.330417,93595.30685,-0.000488589,-1.73E-18,0.119337007,-158.8265102,3.66098786,566
5221,changping,2016083112,5836,28.69224888,9.48342647,2.940190088,-3.002460033,2495.40184,93487.77835,-0.000553832,-1.73E-18,0.119337007,-139.4856119,4.202318884,349
5222,changping,2016083113,5837,30.5712365,7.087356571,2.72127015,-3.844137188,2662.473658,93424.50477,-0.00058253,-1.73E-18,0.119337007,-110.8816677,4.709851585,285
5223,changping,2016083114,5838,30.61269372,7.764648561,2.501020738,-4.187601857,2728.739129,93359.40248,-0.000572414,-1.73E-18,0.119337007,-96.91032254,4.877613561,1533
5224,changping,2016083115,5839,30.75535534,6.737295542,2.23645555,-4.093715224,2797.406724,93332.33748,-0.000502881,-1.73E-18,0.119337007,-90.00165017,4.664787,2051
5225,changping,2016083116,5840,29.9262109,4.557567706,1.636419929,-3.453021515,2746.962134,93320.99944,-0.000425781,-1.73E-18,0.119337007,-79.66048765,3.821155292,1093
5226,changping,2016083117,5841,29.86768306,4.593443526,0.933128549,-2.64248264,2465.333882,93315.14755,-0.000298666,-1.73E-18,0.119337007,-61.10220503,2.802399577,908
5227,changping,2016083118,5842,24.80502465,7.111273784,0.570625493,-2.093788395,1716.865387,93281.86492,-0.000147237,-1.73E-18,0.119103773,-47.89274388,2.170152828,1497
5228,changping,2016083119,5843,23.33938992,1.644016286,1.184399004,-3.079833942,753.8624304,93389.75917,-4.12E-05,-1.73E-18,0.119103773,-66.08352509,3.299723945,1450
5229,changping,2016083120,5844,22.56633466,0.802565241,1.333743173,-3.158623227,599.2982193,93408.04633,-1.92E-05,-1.73E-18,0.119103773,-71.91773438,3.428669063,598
5230,changping,2016083121,5845,22.08469928,1.52986595,1.93244932,-2.676923465,363.4759745,93410.60653,-1.76E-05,-1.73E-18,0.119103773,-112.5482232,3.301557149,671
5231,changping,2016083122,5846,21.73109357,0.900408386,2.241330285,-1.857892332,46.23003216,93440.96322,-1.73E-05,-1.73E-18,0.119103773,-158.1598737,2.911241207,1349
5232,changping,2016083123,5847,19.1729391,2.420238567,1.628886247,-1.41393594,25.52207248,93431.08815,-1.92E-05,-1.73E-18,0.119103773,-154.0660977,2.156962041,1102
5233,changping,2016090100,5848,19.21073833,2.76921245,1.287211607,-1.140296506,23.8654357,93408.41207,-2.00E-05,-1.73E-18,0.119103773,-152.2521693,1.719648174,34
5234,changping,2016090102,5850,18.72788363,3.087746243,1.24688425,-1.212952493,33.63959267,93364.52289,-2.00E-05,-1.73E-18,0.119103773,-143.8544882,1.73953272,74
