0,1,2
0.0,2016010100.0,0.0
0.0,2016010101.0,2698.0
1.0,2016010102.0,2415.0
2.0,2016010103.0,2261.0
3.0,2016010104.0,2332.0
4.0,2016010105.0,2852.0
5.0,2016010106.0,4424.0
6.0,2016010107.0,4812.0
7.0,2016010108.0,6405.0
8.0,2016010109.0,4999.0
9.0,2016010110.0,6271.0
10.0,2016010111.0,5807.0
11.0,2016010112.0,5924.0
12.0,2016010113.0,6427.0
13.0,2016010114.0,6523.0
14.0,2016010115.0,5423.0
15.0,2016010116.0,6555.0
16.0,2016010117.0,5464.0
17.0,2016010118.0,4679.0
18.0,2016010119.0,4803.0
19.0,2016010120.0,4316.0
20.0,2016010121.0,3662.0
21.0,2016010122.0,3182.0
22.0,2016010123.0,3413.0
23.0,2016010200.0,3366.0
24.0,2016010201.0,3674.0
25.0,2016010202.0,2588.0
26.0,2016010203.0,2133.0
27.0,2016010204.0,2091.0
28.0,2016010205.0,2099.0
29.0,2016010206.0,1675.0
30.0,2016010207.0,1437.0
31.0,2016010208.0,1514.0
32.0,2016010209.0,2216.0
33.0,2016010210.0,2063.0
34.0,2016010211.0,1960.0
35.0,2016010212.0,3100.0
36.0,2016010213.0,2705.0
37.0,2016010214.0,3635.0
38.0,2016010215.0,3980.0
39.0,2016010216.0,3104.0
40.0,2016010217.0,3354.0
41.0,2016010218.0,3860.0
42.0,2016010219.0,3580.0
43.0,2016010220.0,3842.0
44.0,2016010221.0,3542.0
45.0,2016010222.0,3826.0
46.0,2016010223.0,5200.0
0.0,2016010300.0,0.0
47.0,2016010301.0,3595.0
48.0,2016010302.0,7758.0
49.0,2016010303.0,7347.0
50.0,2016010304.0,6270.0
51.0,2016010305.0,4955.0
52.0,2016010306.0,5036.0
53.0,2016010307.0,4811.0
54.0,2016010308.0,4643.0
55.0,2016010309.0,4379.0
56.0,2016010310.0,4685.0
57.0,2016010311.0,5381.0
58.0,2016010312.0,6510.0
59.0,2016010313.0,5524.0
60.0,2016010314.0,2867.0
61.0,2016010315.0,3238.0
62.0,2016010316.0,1706.0
63.0,2016010317.0,885.0
64.0,2016010318.0,640.0
65.0,2016010319.0,156.0
66.0,2016010320.0,144.0
67.0,2016010321.0,190.0
68.0,2016010322.0,59.0
69.0,2016010323.0,344.0
0.0,2016010400.0,0.0
70.0,2016010401.0,222.0
71.0,2016010402.0,189.0
72.0,2016010403.0,-32.0
73.0,2016010404.0,476.0
74.0,2016010405.0,254.0
75.0,2016010406.0,289.0
76.0,2016010407.0,-53.0
77.0,2016010408.0,8.5
78.0,2016010409.0,-60.0
79.0,2016010410.0,174.0
80.0,2016010411.0,202.0
81.0,2016010412.0,294.0
82.0,2016010413.0,127.0
83.0,2016010414.0,116.0
84.0,2016010415.0,166.0
85.0,2016010416.0,406.0
86.0,2016010417.0,502.0
87.0,2016010418.0,232.0
88.0,2016010419.0,181.0
89.0,2016010420.0,781.0
90.0,2016010421.0,765.0
91.0,2016010422.0,432.0
92.0,2016010423.0,546.0
0.0,2016010500.0,0.0
93.0,2016010501.0,1084.0
94.0,2016010502.0,1196.0
95.0,2016010503.0,410.0
96.0,2016010504.0,151.0
97.0,2016010505.0,172.0
98.0,2016010506.0,213.0
99.0,2016010507.0,17.8
100.0,2016010508.0,296.0
101.0,2016010509.0,388.0
102.0,2016010510.0,773.0
103.0,2016010511.0,896.0
104.0,2016010512.0,2123.0
105.0,2016010513.0,2371.0
106.0,2016010514.0,1803.0
107.0,2016010515.0,2120.0
108.0,2016010516.0,1600.0
109.0,2016010517.0,1327.0
110.0,2016010518.0,1389.0
111.0,2016010519.0,1385.0
112.0,2016010520.0,1130.0
113.0,2016010521.0,752.0
114.0,2016010522.0,901.0
115.0,2016010523.0,552.0
0.0,2016010600.0,0.0
116.0,2016010601.0,1268.0
117.0,2016010602.0,913.0
118.0,2016010603.0,556.0
119.0,2016010604.0,464.0
120.0,2016010605.0,267.0
121.0,2016010606.0,289.0
122.0,2016010607.0,195.0
123.0,2016010608.0,130.0
124.0,2016010609.0,265.0
125.0,2016010610.0,150.0
126.0,2016010611.0,176.0
127.0,2016010612.0,193.0
128.0,2016010613.0,129.0
129.0,2016010614.0,183.0
130.0,2016010615.0,217.0
131.0,2016010616.0,380.0
132.0,2016010617.0,277.0
133.0,2016010618.0,264.0
134.0,2016010619.0,332.0
135.0,2016010620.0,254.0
136.0,2016010621.0,224.0
137.0,2016010622.0,197.0
138.0,2016010623.0,502.0
0.0,2016010700.0,0.0
139.0,2016010701.0,665.0
140.0,2016010702.0,471.0
141.0,2016010703.0,211.0
142.0,2016010704.0,252.0
143.0,2016010705.0,431.0
144.0,2016010706.0,301.0
145.0,2016010707.0,275.0
146.0,2016010708.0,294.0
147.0,2016010709.0,424.0
148.0,2016010710.0,189.0
149.0,2016010711.0,197.0
150.0,2016010712.0,535.0
151.0,2016010713.0,433.0
152.0,2016010714.0,608.0
153.0,2016010715.0,575.0
154.0,2016010716.0,565.0
155.0,2016010717.0,615.0
156.0,2016010718.0,621.0
157.0,2016010719.0,469.0
158.0,2016010720.0,497.0
159.0,2016010721.0,458.0
160.0,2016010722.0,245.0
161.0,2016010723.0,353.0
0.0,2016010800.0,0.0
162.0,2016010801.0,542.0
163.0,2016010802.0,151.0
164.0,2016010803.0,329.0
165.0,2016010804.0,250.0
166.0,2016010805.0,348.0
167.0,2016010806.0,268.0
168.0,2016010807.0,350.0
169.0,2016010808.0,277.0
170.0,2016010809.0,500.0
171.0,2016010810.0,561.0
172.0,2016010811.0,614.0
173.0,2016010812.0,1510.0
174.0,2016010813.0,2434.0
175.0,2016010814.0,2375.0
176.0,2016010815.0,2564.0
177.0,2016010816.0,2056.0
178.0,2016010817.0,1649.0
179.0,2016010818.0,1801.0
180.0,2016010819.0,1565.0
181.0,2016010820.0,1394.0
182.0,2016010821.0,1422.0
183.0,2016010822.0,692.0
184.0,2016010823.0,1113.0
0.0,2016010900.0,0.0
185.0,2016010901.0,1377.0
186.0,2016010902.0,943.0
187.0,2016010903.0,486.0
188.0,2016010904.0,352.0
189.0,2016010905.0,50.0
190.0,2016010906.0,115.0
191.0,2016010907.0,147.0
192.0,2016010908.0,389.0
193.0,2016010909.0,1066.0
194.0,2016010910.0,833.0
195.0,2016010911.0,1808.0
196.0,2016010912.0,2067.0
197.0,2016010913.0,2238.0
198.0,2016010914.0,2288.0
199.0,2016010915.0,2539.0
200.0,2016010916.0,2261.0
201.0,2016010917.0,1960.0
202.0,2016010918.0,1841.0
203.0,2016010919.0,1855.0
204.0,2016010920.0,1065.0
205.0,2016010921.0,1186.0
206.0,2016010922.0,661.0
207.0,2016010923.0,779.0
0.0,2016011000.0,0.0
208.0,2016011001.0,1421.0
209.0,2016011002.0,480.0
210.0,2016011003.0,359.0
211.0,2016011004.0,250.0
212.0,2016011005.0,552.0
213.0,2016011006.0,486.0
214.0,2016011007.0,475.0
215.0,2016011008.0,691.0
216.0,2016011009.0,859.0
